monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2002060390;2002-06-07 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.351;mg/l
WN_FC2002060487;2002-06-10 09:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.834;mg/l
WN_FC2002061381;2002-06-21 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.901;mg/l
WN_FC2002061697;2002-06-26 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.25;mg/l
WN_FC2002070089;2002-07-02 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.64;mg/l
WN_FC2002070271;2002-07-04 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.405;mg/l
WN_FC2002070386;2002-07-05 09:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.189;mg/l
WN_FC2002070858;2002-07-12 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.73;mg/l
WN_FC2002071223;2002-07-18 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.51;mg/l
WN_FC2002071634;2002-07-24 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.307;mg/l
WN_FC2002072283;2002-08-01 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.868;mg/l
WN_FC2002080456;2002-08-08 09:55;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.252;mg/l
WN_FC2002081144;2002-08-20 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.142;mg/l
WN_FC2002081394;2002-08-23 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.09;mg/l
WN_FC2002081597;2002-08-27 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.87;mg/l
WN_FC2002090211;2002-09-04 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.183;mg/l
WN_FC2002091325;2002-09-20 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.085;mg/l
WN_FC2002092042;2002-10-01 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.694;mg/l
WN_FC2002100186;2002-10-03 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.073;mg/l
WN_FC2002101518;2002-10-24 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.185;mg/l
WN_FC2002110104;2002-11-04 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.131;mg/l
WN_FC2002110265;2002-11-06 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.831;mg/l
WN_FC2002111690;2002-11-28 09:05;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.26;mg/l
WN_FC2002120031;2002-12-03 08:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.606;mg/l
