monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2011319409;2011-07-25 08:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011319559;2011-07-26 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2011319408;2011-07-28 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011321260;2011-08-04 08:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2011322125;2011-08-05 08:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2011322126;2011-08-05 08:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011321256;2011-08-08 11:41;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011322704;2011-08-15 12:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011322838;2011-08-17 09:22;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011322705;2011-08-22 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2011324787;2011-09-09 00:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);150.0;mg/l
WN_FC2011325459;2011-09-27 09:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2011327975;2011-10-06 09:31;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2011327844;2011-10-07 11:48;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2011328332;2011-10-10 09:38;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011328331;2011-10-10 10:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011328291;2011-10-13 09:13;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2011328631;2011-10-14 10:11;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2011329760;2011-10-31 08:36;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011331884;2011-11-08 09:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);510.0;mg/l
WN_FC2011332086;2011-11-10 10:46;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2011334613;2011-12-01 09:35;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011334535;2011-12-01 10:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011335497;2011-12-07 09:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2011335193;2011-12-08 09:34;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2011335194;2011-12-08 09:44;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011336402;2011-12-19 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2011335730;2011-12-21 09:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012338155;2012-01-17 10:13;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);490.0;mg/l
WN_FC2012340237;2012-02-20 10:03;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);260.0;mg/l
WN_FC2012340348;2012-02-21 08:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2012340260;2012-02-23 08:28;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2012340281;2012-02-27 08:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012340394;2012-02-27 10:51;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2012342122;2012-03-21 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);500.0;mg/l
WN_FC2012344007;2012-04-04 07:52;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012343980;2012-04-04 11:58;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012344401;2012-04-11 10:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2012344922;2012-04-16 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012345011;2012-04-18 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2012344921;2012-04-27 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);340.0;mg/l
WN_FC2012347506;2012-05-15 09:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012349943;2012-06-04 12:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2012350232;2012-06-06 10:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2012350387;2012-06-14 09:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012350885;2012-06-14 09:04;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012351259;2012-06-18 08:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2012351480;2012-06-20 08:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012352156;2012-07-02 11:04;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);320.0;mg/l
WN_FC2012352417;2012-07-04 10:54;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2012352521;2012-07-05 08:07;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2012353093;2012-07-10 10:03;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012353114;2012-07-11 10:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012353779;2012-07-16 00:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);170.0;mg/l
WN_FC2012355458;2012-07-30 10:17;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2012355657;2012-08-01 11:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012355867;2012-08-02 09:17;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012355892;2012-08-03 10:51;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2012356311;2012-08-09 09:47;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012357537;2012-08-27 09:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);160.0;mg/l
WN_FC2012358894;2012-09-13 09:14;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);260.0;mg/l
WN_FC2012360132;2012-10-01 11:22;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2012360324;2012-10-02 00:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2012360399;2012-10-02 11:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2012361252;2012-10-15 00:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2012361333;2012-10-16 09:16;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2012361376;2012-10-23 11:40;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2012363707;2012-11-20 09:24;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);480.0;mg/l
WN_FC2012364965;2012-12-05 09:17;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);150.0;mg/l
WN_FC2012365076;2012-12-06 10:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2012365097;2012-12-06 13:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2012365609;2012-12-11 09:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2012365773;2012-12-13 09:42;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);390.0;mg/l
WN_FC2012366171;2012-12-18 10:45;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2013369095;2013-02-05 11:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2013369014;2013-02-06 11:47;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);140.0;mg/l
WN_FC2013369234;2013-02-07 10:56;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2013368717;2013-02-18 09:45;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2013370098;2013-02-18 12:35;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2013371337;2013-03-12 10:57;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);380.0;mg/l
WN_FC2013373025;2013-04-09 11:44;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2013373208;2013-04-10 09:09;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);370.0;mg/l
WN_FC2013373519;2013-04-15 09:35;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2013373843;2013-04-18 09:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2013374341;2013-04-22 11:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2013375896;2013-05-17 09:58;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2013377702;2013-06-10 12:30;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);210.0;mg/l
WN_FC2013377810;2013-06-12 09:01;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);410.0;mg/l
WN_FC2013378268;2013-06-17 11:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);290.0;mg/l
WN_FC2013378429;2013-06-20 09:39;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);260.0;mg/l
WN_FC2013378827;2013-06-24 09:25;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2013380165;2013-07-10 10:10;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2013380121;2013-07-10 10:34;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2013381464;2013-07-15 09:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2013382067;2013-07-22 11:17;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2013383298;2013-08-08 09:10;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);340.0;mg/l
WN_FC2013383284;2013-08-08 09:41;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);580.0;mg/l
WN_FC2013383715;2013-08-12 10:38;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);190.0;mg/l
WN_FC2013384389;2013-08-19 09:49;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2013385737;2013-08-26 10:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2013387348;2013-09-11 10:00;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);230.0;mg/l
WN_FC2013390372;2013-10-07 09:39;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);200.0;mg/l
WN_FC2013391344;2013-10-21 09:50;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
