monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2012345011;2012-04-18 09:50;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;127540;473186
WN_FC2012344921;2012-04-27 09:50;IONEN;Calcium na filtratie (mg/l);95.0;mg/l;125290;470063
WN_FC2012347506;2012-05-15 09:29;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;127540;473186
WN_FC2012349943;2012-06-04 12:29;IONEN;Calcium na filtratie (mg/l);76.0;mg/l;125290;470063
WN_FC2012350232;2012-06-06 10:20;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;120698;488852
WN_FC2012350387;2012-06-14 09:00;IONEN;Calcium na filtratie (mg/l);64.0;mg/l;128859;480426
WN_FC2012350885;2012-06-14 09:04;IONEN;Calcium na filtratie (mg/l);89.0;mg/l;119445;463875
WN_FC2012351259;2012-06-18 08:49;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;119349;493061
WN_FC2012351480;2012-06-20 08:16;IONEN;Calcium na filtratie (mg/l);64.0;mg/l;127540;473186
WN_FC2012352156;2012-07-02 11:04;IONEN;Calcium na filtratie (mg/l);80.0;mg/l;125290;470063
WN_FC2012352417;2012-07-04 10:54;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;120698;488852
WN_FC2012352521;2012-07-05 08:07;IONEN;Calcium na filtratie (mg/l);61.0;mg/l;128859;480426
WN_FC2012353093;2012-07-10 10:03;IONEN;Calcium na filtratie (mg/l);71.0;mg/l;119445;463875
WN_FC2012353114;2012-07-11 10:15;IONEN;Calcium na filtratie (mg/l);74.0;mg/l;127540;473186
WN_FC2012353779;2012-07-16 00:00;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119349;493061
WN_FC2012355458;2012-07-30 10:17;IONEN;Calcium na filtratie (mg/l);77.0;mg/l;125290;470063
WN_FC2012355657;2012-08-01 11:30;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;120698;488852
WN_FC2012355867;2012-08-02 09:17;IONEN;Calcium na filtratie (mg/l);61.0;mg/l;128859;480426
WN_FC2012355892;2012-08-03 10:51;IONEN;Calcium na filtratie (mg/l);66.0;mg/l;119445;463875
WN_FC2012356311;2012-08-09 09:47;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;127540;473186
WN_FC2012357537;2012-08-27 09:15;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2012358894;2012-09-13 09:14;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;127540;473186
WN_FC2012360132;2012-10-01 11:22;IONEN;Calcium na filtratie (mg/l);71.0;mg/l;119445;463875
WN_FC2012360324;2012-10-02 00:00;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;120698;488852
WN_FC2012360399;2012-10-02 11:00;IONEN;Calcium na filtratie (mg/l);60.0;mg/l;128859;480426
WN_FC2012361252;2012-10-15 00:00;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2012361333;2012-10-16 09:16;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;127540;473186
WN_FC2012361376;2012-10-23 11:40;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;125290;470063
WN_FC2012363707;2012-11-20 09:24;IONEN;Calcium na filtratie (mg/l);130.0;mg/l;127540;473186
WN_FC2012364965;2012-12-05 09:17;IONEN;Calcium na filtratie (mg/l);63.0;mg/l;128859;480426
WN_FC2012365076;2012-12-06 10:49;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119445;463875
WN_FC2012365097;2012-12-06 13:00;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;120698;488852
WN_FC2012365609;2012-12-11 09:55;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;119349;493061
WN_FC2012365773;2012-12-13 09:42;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;127540;473186
WN_FC2012366171;2012-12-18 10:45;IONEN;Calcium na filtratie (mg/l);97.0;mg/l;125290;470063
WN_FC2013369095;2013-02-05 11:30;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2013369014;2013-02-06 11:47;IONEN;Calcium na filtratie (mg/l);55.0;mg/l;128859;480426
WN_FC2013369234;2013-02-07 10:56;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119445;463875
WN_FC2013368717;2013-02-18 09:45;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119349;493061
