monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2003020438;2003-02-10 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;94.0;mS/m
WN_FC2003020428;2003-02-10 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;81.0;mS/m
WN_FC2003021673;2003-02-28 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;295.0;mS/m
WN_FC2003030110;2003-03-04 08:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;127.0;mS/m
WN_FC2003030597;2003-03-11 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;77.0;mS/m
WN_FC2003030751;2003-03-12 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;188.0;mS/m
WN_FC2003031920;2003-04-01 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;144.0;mS/m
WN_FC2003040283;2003-04-04 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;73.0;mS/m
WN_FC2003040432;2003-04-07 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;246.0;mS/m
WN_FC2003050013;2003-05-01 09:40;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;101.0;mS/m
WN_FC2003050023;2003-05-01 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;65.0;mS/m
WN_FC2003050058;2003-05-02 08:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;186.0;mS/m
WN_FC2003060142;2003-06-03 09:25;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;74.0;mS/m
WN_FC2003060267;2003-06-04 08:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;131.0;mS/m
WN_FC2003060259;2003-06-04 09:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;306.0;mS/m
WN_FC2003062050;2003-07-01 09:25;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;71.5;mS/m
WN_FC2003070088;2003-07-02 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;186.0;mS/m
WN_FC2003070385;2003-07-07 09:40;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;333.0;mS/m
